Rank,ticker,name,region,Value,Momentum,Quality,Low Vol,Skin in Game,Coverage,Total,Total (cov-adj),Weighted
1,PGR,Progressive Corporation,US,7,10,9.0,9,,4,35.0,43.75,35.0
2,ACN,Accenture,US,8,8,8.0,10,,4,34.0,42.5,34.0
3,ALL,Allstate,US,9,7,9.0,9,,4,34.0,42.5,34.0
4,FIS,Fidelity National Information Services,US,10,7,6.0,10,,4,33.0,41.25,33.0
5,AVY,Avery Dennison,US,6,10,8.0,9,,4,33.0,41.25,33.0
6,TROW,T. Rowe Price,US,9,10,7.0,6,,4,32.0,40.0,32.0
7,ZTS,Zoetis,US,6,8,10.0,8,,4,32.0,40.0,32.0
8,AFL,Aflac,US,8,8,6.0,10,,4,32.0,40.0,32.0
9,NOC,Northrop Grumman,US,7,8,8.0,9,,4,32.0,40.0,32.0
10,V,Visa Inc.,US,3,9,10.0,10,,4,32.0,40.0,32.0
11,STZ,Constellation Brands,US,7,9,7.0,8,,4,31.0,38.75,31.0
12,LMT,Lockheed Martin,US,4,7,10.0,10,,4,31.0,38.75,31.0
13,HON,Honeywell,US,6,7,8.0,10,,4,31.0,38.75,31.0
14,MA,Mastercard,US,2,10,10.0,9,,4,31.0,38.75,31.0
15,CTSH,Cognizant,US,10,8,5.0,8,,4,31.0,38.75,31.0
16,TEL,TE Connectivity,US,6,8,7.0,9,,4,30.0,37.5,30.0
17,PYPL,PayPal,US,9,10,8.0,3,,4,30.0,37.5,30.0
18,PHM,PulteGroup,US,9,10,6.0,5,,4,30.0,37.5,30.0
19,IT,Gartner,US,5,8,10.0,7,,4,30.0,37.5,30.0
20,AMP,Ameriprise Financial,US,7,9,10.0,4,,4,30.0,37.5,30.0
21,MSFT,Microsoft,US,5,9,8.0,8,,4,30.0,37.5,30.0
22,HD,Home Depot (The),US,3,9,10.0,8,,4,30.0,37.5,30.0
23,ITW,Illinois Tool Works,US,3,8,10.0,9,,4,30.0,37.5,30.0
24,HIG,Hartford (The),US,9,5,7.0,9,,4,30.0,37.5,30.0
25,AON,Aon,US,5,6,9.0,10,,4,30.0,37.5,30.0
26,CI,Cigna,US,9,9,5.0,6,,4,29.0,36.25,29.0
27,MMM,3M,US,2,8,10.0,9,,4,29.0,36.25,29.0
28,CRM,Salesforce,US,6,8,7.0,8,,4,29.0,36.25,29.0
29,CBOE,Cboe Global Markets,US,5,10,7.0,7,,4,29.0,36.25,29.0
30,AOS,A. O. Smith,US,6,7,8.0,8,,4,29.0,36.25,29.0
31,AMT,American Tower,US,3,9,10.0,7,,4,29.0,36.25,29.0
32,TRV,Travelers Companies (The),US,9,4,7.0,9,,4,29.0,36.25,29.0
33,AXP,American Express,US,5,7,8.0,9,,4,29.0,36.25,29.0
34,INTU,Intuit,US,7,9,7.0,6,,4,29.0,36.25,29.0
35,MCO,Moody's Corporation,US,2,9,10.0,8,,4,29.0,36.25,29.0
36,SHW,Sherwin-Williams,US,2,9,10.0,8,,4,29.0,36.25,29.0
37,ADBE,Adobe Inc.,US,6,10,10.0,3,,4,29.0,36.25,29.0
38,GOOGL,Alphabet Inc. (Class A),US,4,8,9.0,7,,4,28.0,35.0,28.0
39,DHI,D. R. Horton,US,8,10,5.0,5,,4,28.0,35.0,28.0
40,CME,CME Group,US,7,7,6.0,8,,4,28.0,35.0,28.0
41,JNJ,Johnson & Johnson,US,3,7,8.0,10,,4,28.0,35.0,28.0
42,UPS,United Parcel Service,US,6,6,8.0,8,,4,28.0,35.0,28.0
43,FDX,FedEx,US,7,9,5.0,7,,4,28.0,35.0,28.0
44,GOOG,Alphabet Inc. (Class C),US,4,8,9.0,7,,4,28.0,35.0,28.0
45,WM,Waste Management,US,3,7,8.0,10,,4,28.0,35.0,28.0
46,APH,Amphenol,US,2,8,8.0,10,,4,28.0,35.0,28.0
47,MHK,Mohawk Industries,US,9,8,2.0,9,,4,28.0,35.0,28.0
48,LKQ,LKQ Corporation,US,10,8,3.0,7,,4,28.0,35.0,28.0
49,PSX,Phillips 66,US,8,7,5.0,8,,4,28.0,35.0,28.0
50,ROP,Roper Technologies,US,7,9,3.0,9,,4,28.0,35.0,28.0
51,CCL,Carnival,US,8,5,8.0,7,,4,28.0,35.0,28.0
52,PAYX,Paychex,US,5,5,9.0,8,,4,27.0,33.75,27.0
53,A,Agilent Technologies,US,4,9,7.0,7,,4,27.0,33.75,27.0
54,VLO,Valero Energy,US,6,9,6.0,6,,4,27.0,33.75,27.0
55,PEG,Public Service Enterprise Group,US,7,5,5.0,10,,4,27.0,33.75,27.0
56,PEP,PepsiCo,US,4,4,9.0,10,,4,27.0,33.75,27.0
57,BK,BNY Mellon,US,8,6,5.0,8,,4,27.0,33.75,27.0
58,KO,Coca-Cola Company (The),US,4,4,9.0,10,,4,27.0,33.75,27.0
59,CB,Chubb Limited,US,9,4,5.0,9,,4,27.0,33.75,27.0
60,BAX,Baxter International,US,8,9,1.0,9,,4,27.0,33.75,27.0
61,SPGI,S&P Global,US,5,9,6.0,7,,4,27.0,33.75,27.0
62,BLK,BlackRock,US,6,9,4.0,8,,4,27.0,33.75,27.0
63,JPM,JPMorgan Chase,US,7,7,6.0,7,,4,27.0,33.75,27.0
64,NEE,NextEra Energy,US,6,6,5.0,10,,4,27.0,33.75,27.0
65,USB,U.S. Bancorp,US,9,3,5.0,9,,4,26.0,32.5,26.0
66,VRSK,Verisk Analytics,US,3,5,10.0,8,,4,26.0,32.5,26.0
67,AME,Ametek,US,3,9,5.0,9,,4,26.0,32.5,26.0
68,PFE,Pfizer,US,8,5,3.0,10,,4,26.0,32.5,26.0
69,CTAS,Cintas,US,2,9,9.0,6,,4,26.0,32.5,26.0
70,ABT,Abbott Laboratories,US,5,8,4.0,9,,4,26.0,32.5,26.0
71,STT,State Street Corporation,US,8,7,4.0,7,,4,26.0,32.5,26.0
72,BBY,Best Buy,US,6,10,9.0,1,,4,26.0,32.5,26.0
73,BMY,Bristol Myers Squibb,US,6,6,9.0,5,,4,26.0,32.5,26.0
74,DLTR,Dollar Tree,US,5,9,9.0,3,,4,26.0,32.5,26.0
75,DRI,Darden Restaurants,US,4,9,9.0,4,,4,26.0,32.5,26.0
76,L,Loews Corporation,US,9,4,3.0,10,,4,26.0,32.5,26.0
77,NDAQ,"Nasdaq, Inc.",US,5,5,6.0,10,,4,26.0,32.5,26.0
78,CINF,Cincinnati Financial,US,9,3,6.0,8,,4,26.0,32.5,26.0
79,PH,Parker Hannifin,US,3,9,8.0,6,,4,26.0,32.5,26.0
80,EXPD,Expeditors International,US,4,6,9.0,7,,4,26.0,32.5,26.0
81,PG,Procter & Gamble,US,5,3,8.0,10,,4,26.0,32.5,26.0
82,PPG,PPG Industries,US,7,5,7.0,7,,4,26.0,32.5,26.0
